RunDate, PropmtUsed, Output, Durations,  DesignURL, MediaSelected, MediaIDs
2023-10-23
2023-10-23-3:48:2,Unboxing video for ActiveLink fitness tracker,"UNBOXING THE ACTIVELINK FITNESS TRACKER ⌚️,Let's take a closer look 🔎,Here are all the features 🎸","2.6s,3.6s,3.6s",https://www.canva.com/design/DAFyC6QyKUs/wyBGdo0S1MQ6C2enLR9_0Q/edit?ui=eyJEIjp7IksiOnsiQiI6dHJ1ZX19LCJBIjp7IkIiOnsiQiI6dHJ1ZX19LCJHIjp7IkIiOnRydWV9fQ,"1,12,16","VAFwSpO6j88/v/c013851634.jpg,MAFwSa7SwrE,MAFwSdhAOQU"
2023-10-23-3:48:4,The unique puppies we get at Barktown pet daycare,"THE UNIQUE PUPPIES WE GET AT BARKTOWN PET DAYCARE 🐶,We have all kinds of puppies, from big to small 🐩,And they're all so cute 😍,We love them all the same 🌎","4.1s,4.1s,4.1s,2.0s",https://www.canva.com/design/DAFyC6DfD2g/zOubhtJbqflBUYrTD_TFUw/edit?ui=eyJEIjp7IksiOnsiQiI6dHJ1ZX19LCJBIjp7IkIiOnsiQiI6dHJ1ZX19LCJHIjp7IkIiOnRydWV9fQ,"2,4,9,12","VAFwSl6GZgg/v/8b104d3b36.jpg,MAFwSUUy_ww,MAFwSbtzp2M,MAFwSa7SwrE"
2023-10-23-3:48:7,Highlight reel of our Thailand holiday,"CHECK OUT MY NEW GUITAR 🎸,I love the color 💙,It's so beautiful 😍,I can't wait to play it 🎶,I'm so excited to start learning 🎸,I'm sure I'll be a pro in no time 😎,I can't wait to share my music with the world 🌎,I'm going to be the next rock star 🤘","4.3s,4.0s,4.0s,4.0s,4.0s,4.0s,4.0s,4.0s",https://www.canva.com/design/DAFyC3DyYFo/dn3id5dceLSaXfvM21bCpA/edit?ui=eyJEIjp7IksiOnsiQiI6dHJ1ZX19LCJBIjp7IkIiOnsiQiI6dHJ1ZX19LCJHIjp7IkIiOnRydWV9fQ,"14,7,15,16,10,3,9,11","MAFwSXKt9Tc,MAFwSdWwEpI,MAFwSRvID9o,MAFwSdhAOQU,MAFwSXvFG8o,MAFwSbaXHrk,MAFwSbtzp2M,MAFwSejU_J4"
2023-10-23-3:48:13,The unique puppies we get at Barktown pet daycare,"CHECK OUT THESE UNIQUE PUPPIES 🐶,THEY'RE ALL SO DIFFERENT AND SPECIAL 🥰,COME VISIT US AT BARKTOWN PET DAYCARE 🐶,WE'RE OPEN 7 DAYS A WEEK 🕔,WE'RE HERE TO MAKE SURE YOUR FURRY FRIEND HAS A GREAT TIME 🐶,WE OFFER A VARIETY OF ACTIVITIES AND SERVICES 🎸,WE'RE THE BEST PLACE FOR YOUR FURRY FRIEND TO STAY 🧸,WE'RE ALSO THE MOST AFFORDABLE OPTION 💰,SO WHAT ARE YOU WAITING FOR? 📞,BOOK YOUR FURRY FRIEND'S STAY TODAY!","4.3s,4.1s,4.1s,2.0s,4.1s,3.1s,2.0s,4.1s,4.1s,4.1s",https://www.canva.com/design/DAFyCxccbnM/gEAfFgb9BmhHYDAapQ3ovw/edit?ui=eyJEIjp7IksiOnsiQiI6dHJ1ZX19LCJBIjp7IkIiOnsiQiI6dHJ1ZX19LCJHIjp7IkIiOnRydWV9fQ,"16,8,11,4,14,12,5,0,3,2","MAFwSdhAOQU,MAFwSZ2phx4,MAFwSejU_J4,MAFwSUUy_ww,MAFwSXKt9Tc,MAFwSa7SwrE,MAFwSd0KKog,VAFwSrSLsgo/v/e0c36ea2a0.jpg,MAFwSbaXHrk,VAFwSl6GZgg/v/8b104d3b36.jpg"
2023-10-23-3:48:15,Happy 70th birthday video for Grandma,"HAPPY 70TH BIRTHDAY, GRANDMA! 🎉,I hope you have a wonderful day 🎂,You're the best grandma anyone could ask for 👵,I love spending time with you 🎸,I'm so grateful for you 🥰,I hope you know how much you mean to me 🫶,I love you, Grandma! 😘,I","3.1s,4.8s,4.8s,4.8s,2.4s,4.8s,4.8s,4.7s",https://www.canva.com/design/DAFyC4c29Ko/QT_J87q9ARQh3s0qEpQSCg/edit?ui=eyJEIjp7IksiOnsiQiI6dHJ1ZX19LCJBIjp7IkIiOnsiQiI6dHJ1ZX19LCJHIjp7IkIiOnRydWV9fQ,"1,3,7,16,4,8,6,9","VAFwSpO6j88/v/c013851634.jpg,MAFwSbaXHrk,MAFwSdWwEpI,MAFwSdhAOQU,MAFwSUUy_ww,MAFwSZ2phx4,MAFwSXH_r_g,MAFwSbtzp2M"
2023-10-23-3:48:49,Happy 70th birthday video for Grandma,"Happy 70th birthday, Grandma! 🎉,I know you love music, so I got you this beautiful guitar 🎸,I hope you enjoy it! 🎁,I love you, Grandma! 👵,I hope you have a wonderful day! 🎂,Love, your Grandchild 😘,P.S. I hope you know how to play this thing! 😂,Happy birthday again, Grandma! 🎉,I love you! 👵","4.3s,3.5s,3.6s,3.7s,3.7s,4.5s,3.7s,3.6s,3.7s",https://www.canva.com/design/DAFyCyd6HG8/k41Jv7VjwHDu9714EtpGiQ/edit?ui=eyJEIjp7IksiOnsiQiI6dHJ1ZX19LCJBIjp7IkIiOnsiQiI6dHJ1ZX19LCJHIjp7IkIiOnRydWV9fQ,"11,15,10,4,7,12,8,14,16","MAFwSejU_J4,MAFwSRvID9o,MAFwSXvFG8o,MAFwSUUy_ww,MAFwSdWwEpI,MAFwSa7SwrE,MAFwSZ2phx4,MAFwSXKt9Tc,MAFwSdhAOQU"
2023-10-23-3:48:49,Event highlights of the Fit Factory gym grand opening,"CHECK OUT THE HIGHLIGHTS OF THE FIT FACTORY GYM GRAND OPENING! 🎉,We had so much fun 🤩,And we're so excited to be open for business 💪","4.3s,4.0s,2.0s",https://www.canva.com/design/DAFyCxy0pjE/1skZCaZ_T3u86hAmPXlYDQ/edit?ui=eyJEIjp7IksiOnsiQiI6dHJ1ZX19LCJBIjp7IkIiOnsiQiI6dHJ1ZX19LCJHIjp7IkIiOnRydWV9fQ,"7,0,9","MAFwSdWwEpI,VAFwSrSLsgo/v/e0c36ea2a0.jpg,MAFwSbtzp2M"
2023-10-23-3:48:51,Unboxing video for ActiveLink fitness tracker,"Introducing the ActiveLink fitness tracker! ⌚,This tracker is perfect for tracking your activity, sleep, and heart rate. 🏃‍♀️,It's also water-resistant, so you can wear it all day long. 💦,And it's super stylish, so you'll want to wear it everywhere. 🎸,So what are you waiting for? 🤔,Order your ActiveLink fitness tracker today! 🛒,You won't regret it! 😉,Get yours now! 🔥,Link in bio!","3.8s,3.6s,3.6s,3.6s,3.6s,2.4s,3.5s,4.8s,4.8s",https://www.canva.com/design/DAFyCxIbhbU/PyRcyJb9ZM4WQr4g2k97gg/edit?ui=eyJEIjp7IksiOnsiQiI6dHJ1ZX19LCJBIjp7IkIiOnsiQiI6dHJ1ZX19LCJHIjp7IkIiOnRydWV9fQ,"1,5,12,7,15,13,8,11,4","VAFwSpO6j88/v/c013851634.jpg,MAFwSd0KKog,MAFwSa7SwrE,MAFwSdWwEpI,MAFwSRvID9o,MAFwSVNFcRk,MAFwSZ2phx4,MAFwSejU_J4,MAFwSUUy_ww"
2023-10-23-3:48:51,Highlight reel of our Thailand holiday,"Our Thailand holiday was amazing 🏝,We spent our days relaxing on the beach 🏖,And our nights enjoying the nightlife 🌃,We ate some of the best food we've ever had 🤤,And we made some amazing memories 🥰,We can't wait to go back ✈️,Thailand, we'll see you soon 🇹🇭,Thanks for watching!","2.7s,2.9s,4.8s,4.8s,2.5s,4.7s,4.8s,2.4s",https://www.canva.com/design/DAFyCzwkP6o/DKdUbVxsuGREPTHqEebAwg/edit?ui=eyJEIjp7IksiOnsiQiI6dHJ1ZX19LCJBIjp7IkIiOnsiQiI6dHJ1ZX19LCJHIjp7IkIiOnRydWV9fQ,"15,4,2,0,9,1,16,3","MAFwSRvID9o,MAFwSUUy_ww,VAFwSl6GZgg/v/8b104d3b36.jpg,VAFwSrSLsgo/v/e0c36ea2a0.jpg,MAFwSbtzp2M,VAFwSpO6j88/v/c013851634.jpg,MAFwSdhAOQU,MAFwSbaXHrk"
